primary_key,id_estacao,data_medicao,altura_agua,data_particao
2_2024-03-15 10:30:00,2,2024-03-15T10:30:00,,2024-03-15
2_2024-03-15 02:45:00,2,2024-03-15T02:45:00,,2024-03-15
2_2024-03-15 06:30:00,2,2024-03-15T06:30:00,,2024-03-15
2_2024-03-15 12:30:00,2,2024-03-15T12:30:00,,2024-03-15
2_2024-03-15 08:30:00,2,2024-03-15T08:30:00,,2024-03-15
2_2024-03-15 03:45:00,2,2024-03-15T03:45:00,,2024-03-15
2_2024-03-15 05:00:00,2,2024-03-15T05:00:00,,2024-03-15
2_2024-03-15 12:15:00,2,2024-03-15T12:15:00,,2024-03-15
2_2024-03-15 13:15:00,2,2024-03-15T13:15:00,,2024-03-15
2_2024-03-15 07:45:00,2,2024-03-15T07:45:00,,2024-03-15
2_2024-03-15 13:30:00,2,2024-03-15T13:30:00,,2024-03-15
2_2024-03-15 07:30:00,2,2024-03-15T07:30:00,,2024-03-15
2_2024-03-15 07:15:00,2,2024-03-15T07:15:00,,2024-03-15
2_2024-03-15 04:30:00,2,2024-03-15T04:30:00,,2024-03-15
2_2024-03-15 09:15:00,2,2024-03-15T09:15:00,,2024-03-15
2_2024-03-15 01:45:00,2,2024-03-15T01:45:00,,2024-03-15
2_2024-03-15 05:15:00,2,2024-03-15T05:15:00,,2024-03-15
2_2024-03-15 00:00:00,2,2024-03-15T00:00:00,,2024-03-15
2_2024-03-15 10:45:00,2,2024-03-15T10:45:00,,2024-03-15
2_2024-03-15 07:00:00,2,2024-03-15T07:00:00,,2024-03-15
2_2024-03-15 04:00:00,2,2024-03-15T04:00:00,,2024-03-15
2_2024-03-15 10:15:00,2,2024-03-15T10:15:00,,2024-03-15
2_2024-03-15 08:45:00,2,2024-03-15T08:45:00,,2024-03-15
2_2024-03-15 13:00:00,2,2024-03-15T13:00:00,,2024-03-15
2_2024-03-15 09:45:00,2,2024-03-15T09:45:00,,2024-03-15
2_2024-03-15 11:00:00,2,2024-03-15T11:00:00,,2024-03-15
2_2024-03-15 01:30:00,2,2024-03-15T01:30:00,,2024-03-15
2_2024-03-15 00:15:00,2,2024-03-15T00:15:00,,2024-03-15
2_2024-03-15 01:00:00,2,2024-03-15T01:00:00,,2024-03-15
2_2024-03-15 06:00:00,2,2024-03-15T06:00:00,,2024-03-15
2_2024-03-15 03:30:00,2,2024-03-15T03:30:00,,2024-03-15
2_2024-03-15 12:45:00,2,2024-03-15T12:45:00,,2024-03-15
2_2024-03-15 11:30:00,2,2024-03-15T11:30:00,,2024-03-15
2_2024-03-15 09:30:00,2,2024-03-15T09:30:00,,2024-03-15
2_2024-03-15 10:00:00,2,2024-03-15T10:00:00,,2024-03-15
2_2024-03-15 11:45:00,2,2024-03-15T11:45:00,,2024-03-15
2_2024-03-15 04:45:00,2,2024-03-15T04:45:00,,2024-03-15
2_2024-03-15 06:45:00,2,2024-03-15T06:45:00,,2024-03-15
2_2024-03-15 00:30:00,2,2024-03-15T00:30:00,,2024-03-15
2_2024-03-15 00:45:00,2,2024-03-15T00:45:00,,2024-03-15
2_2024-03-15 06:15:00,2,2024-03-15T06:15:00,,2024-03-15
2_2024-03-15 21:15:00,2,2024-03-15T21:15:00,0.34,2024-03-15
2_2024-03-15 21:30:00,2,2024-03-15T21:30:00,0.34,2024-03-15
2_2024-03-15 22:00:00,2,2024-03-15T22:00:00,0.34,2024-03-15
2_2024-03-15 21:45:00,2,2024-03-15T21:45:00,0.34,2024-03-15
2_2024-03-15 20:15:00,2,2024-03-15T20:15:00,0.34,2024-03-15
2_2024-03-15 20:30:00,2,2024-03-15T20:30:00,0.34,2024-03-15
2_2024-03-15 20:45:00,2,2024-03-15T20:45:00,0.34,2024-03-15
2_2024-03-15 21:00:00,2,2024-03-15T21:00:00,0.34,2024-03-15
2_2024-03-15 19:45:00,2,2024-03-15T19:45:00,0.34,2024-03-15
2_2024-03-15 20:00:00,2,2024-03-15T20:00:00,0.34,2024-03-15
2_2024-03-15 19:30:00,2,2024-03-15T19:30:00,0.34,2024-03-15
2_2024-03-15 19:15:00,2,2024-03-15T19:15:00,0.34,2024-03-15
2_2024-03-15 16:15:00,2,2024-03-15T16:15:00,0.34,2024-03-15
2_2024-03-15 16:45:00,2,2024-03-15T16:45:00,0.34,2024-03-15
2_2024-03-15 17:45:00,2,2024-03-15T17:45:00,0.34,2024-03-15
2_2024-03-15 17:30:00,2,2024-03-15T17:30:00,0.34,2024-03-15
2_2024-03-15 17:00:00,2,2024-03-15T17:00:00,0.34,2024-03-15
2_2024-03-15 16:30:00,2,2024-03-15T16:30:00,0.34,2024-03-15
2_2024-03-15 18:00:00,2,2024-03-15T18:00:00,0.34,2024-03-15
2_2024-03-15 17:15:00,2,2024-03-15T17:15:00,0.34,2024-03-15
2_2024-03-15 14:30:00,2,2024-03-15T14:30:00,0.34,2024-03-15
2_2024-03-15 15:45:00,2,2024-03-15T15:45:00,0.34,2024-03-15
2_2024-03-15 15:30:00,2,2024-03-15T15:30:00,0.34,2024-03-15
2_2024-03-15 14:45:00,2,2024-03-15T14:45:00,0.34,2024-03-15
2_2024-03-15 15:15:00,2,2024-03-15T15:15:00,0.34,2024-03-15
