id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
1,2023-10-30 12:59:00,Regular,LRF2 - Meio Eufótico,2023-10-30  12:57,2023-10-30 12:59:00,8.34,,25.4,10.6,8.42,2.16,,,1.0,,,0.228,0.101,,0.045,0.57,3.7,<0.1 ,
1,2023-09-29 09:56:00,Regular,LRF3 - Meio Eufótico,2023-09-29 09:53:00,2023-09-29 09:56:00,8.53,,25.4,9.6,6.91,3.93,,,1.0,,,0.14,0.106,,0.048,0.06,4.4,<0.1 ,
1,2022-11-07 14:32:00,Regular,LRF3 - Meio Eufótico,2022-11-07 14:30:00,2022-11-07 14:32:00,8.54,,25.4,13,10.45,3.49,,,1.0,,,0.113,0.129,,<0.016 ,<0.05 ,3.2,<0.1 ,
1,2024-09-29 11:51:00,Regular,LRF5 - Meio,2024-09-29 11:48:00,2024-09-29 11:51:00,8.52,,25.4,9.5,6.47,3.48,,,1.5,,,0.13,0.123,,0.058,0.13,5.7,0.1,
1,2023-10-16  13:01,Regular,LRF6 - Meio,2023-10-16  12:58,2023-10-16  13:01,7.8,,25.4,9.7,4.96,<1.5 ,,,1.5,,,<0.016 ,0.072,,0.049,<0.05 ,4.3,<0.1 ,
1,2023-09-29 11:51:00,Regular,LRF5 - Meio,2023-09-29 11:48:00,2023-09-29 11:51:00,8.52,,25.4,9.5,6.47,3.48,,,1.5,,,0.13,0.123,,0.058,0.13,5.7,0.1,
1,2024-10-30 13:16:00,Regular,LRF4 - Meio,2024-10-30  13:14,2024-10-30 13:16:00,7.93,,25.4,10.6,5.29,1.53,,,1.5,,,0.087,0.061,,0.035,0.25,3.6,<0.1 ,
1,2022-11-07 15:39:00,Regular,LRF4 - Meio,2022-11-07 15:37:00,2022-11-07 15:39:00,8.74,,25.4,13,11.43,3.57,,,1.5,,,0.06,0.085,,0.026,<0.05 ,<1.0,<0.1 ,
1,2023-10-25 10:53:00,Regular,LRF6 - Meio,2023-10-25  10:51,2023-10-25 10:53:00,8.63,,25.4,10.6,7.55,3.4,,,1.5,,,0.137,0.078,,<0.016 ,0.5,<1.0 ,<0.1 ,
1,2022-05-11 12:39:00,Regular,LRF1 - Meio,2022-05-11 12:36:00,2022-05-11 12:39:00,8.52,,25.4,10.2,4.69,6.85,,,1.5,,,0.43,0.093,,<0.016,<0.05,1.4,<0.1,
1,2023-10-30 13:16:00,Regular,LRF4 - Meio,2023-10-30  13:14,2023-10-30 13:16:00,7.93,,25.4,10.6,5.29,1.53,,,1.5,,,0.087,0.061,,0.035,0.25,3.6,<0.1 ,
1,2022-10-10  11:53:00,Regular,LRF1 - Meio,2022-10-10  11:53:00,2022-10-10  11:53:00,8.76,,25.4,13.29,8.44,4.13,,,1.5,,,0.172,0.073,,<0.016 ,<0.05 ,3.1,<0.1 ,
1,2024-10-25 10:53:00,Regular,LRF6 - Meio,2024-10-25  10:51,2024-10-25 10:53:00,8.63,,25.4,10.6,7.55,3.4,,,1.5,,,0.137,0.078,,<0.016 ,0.5,<1.0 ,<0.1 ,
1,2022-05-11 13:09:00,Regular,LRF4 - Meio,2022-05-11 13:06:00,2022-05-11 13:09:00,8.96,,25.4,10.2,4.47,2.77,,,1.5,,,0.18,0.047,,<0.016,<0.05,<1.0,<0.1,
1,2024-10-16  13:01,Regular,LRF6 - Meio,2024-10-16  12:58,2024-10-16  13:01,7.8,,25.4,9.7,4.96,<1.5 ,,,1.5,,,<0.016 ,0.072,,0.049,<0.05 ,4.3,<0.1 ,
